mtx_date,mtx_time,mtx_open,mtx_high,mtx_close,mtx_low,mtx_volume,predict
2020-12-10,15:45:00,14242.0,14246.0,14252.0,14242.0,684.0,0
2020-12-10,16:00:00,14246.0,14253.0,14256.0,14244.0,1215.0,0
2020-12-10,16:15:00,14253.0,14252.0,14254.0,14246.0,466.0,0
2020-12-10,16:30:00,14252.0,14261.0,14268.0,14250.0,1678.0,0
2020-12-10,16:45:00,14262.0,14257.0,14267.0,14255.0,764.0,0
2020-12-10,17:00:00,14258.0,14271.0,14277.0,14255.0,1646.0,0
2020-12-10,17:15:00,14272.0,14278.0,14279.0,14271.0,1028.0,0
2020-12-10,17:30:00,14278.0,14275.0,14283.0,14273.0,1245.0,0
2020-12-10,17:45:00,14275.0,14273.0,14278.0,14271.0,484.0,0
2020-12-10,18:00:00,14273.0,14278.0,14281.0,14272.0,689.0,0
2020-12-10,18:15:00,14278.0,14277.0,14278.0,14271.0,464.0,0
2020-12-10,18:30:00,14276.0,14280.0,14280.0,14273.0,389.0,0
2020-12-10,18:45:00,14280.0,14269.0,14280.0,14267.0,505.0,0
2020-12-10,19:00:00,14269.0,14268.0,14273.0,14268.0,443.0,1
2020-12-10,19:15:00,14268.0,14269.0,14269.0,14261.0,882.0,0
2020-12-10,19:30:00,14268.0,14263.0,14269.0,14262.0,422.0,0
2020-12-10,19:45:00,14263.0,14265.0,14266.0,14260.0,531.0,0
2020-12-10,20:00:00,14265.0,14253.0,14268.0,14250.0,1126.0,0
2020-12-10,20:15:00,14253.0,14245.0,14254.0,14242.0,1407.0,1
2020-12-10,20:30:00,14246.0,14248.0,14250.0,14237.0,1476.0,1
2020-12-10,20:45:00,14248.0,14248.0,14253.0,14245.0,979.0,0
2020-12-10,21:00:00,14248.0,14253.0,14258.0,14244.0,1160.0,0
2020-12-10,21:15:00,14253.0,14235.0,14253.0,14229.0,2579.0,0
2020-12-10,21:30:00,14235.0,14221.0,14241.0,14208.0,3556.0,1
2020-12-10,21:45:00,14221.0,14169.0,14221.0,14162.0,6840.0,1
2020-12-10,22:00:00,14168.0,14145.0,14168.0,14123.0,11255.0,1
2020-12-10,22:15:00,14147.0,14149.0,14155.0,14139.0,2679.0,1
2020-12-10,22:30:00,14150.0,14184.0,14198.0,14144.0,9723.0,0
2020-12-10,22:45:00,14186.0,14219.0,14220.0,14184.0,5499.0,0
2020-12-10,23:00:00,14219.0,14220.0,14227.0,14205.0,4815.0,0
2020-12-10,23:15:00,14220.0,14216.0,14222.0,14208.0,2197.0,0
2020-12-10,23:30:00,14217.0,14243.0,14245.0,14206.0,3769.0,0
2020-12-10,23:45:00,14244.0,14251.0,14254.0,14234.0,2984.0,0
2020-12-11,00:00:00,14252.0,14258.0,14272.0,14250.0,3666.0,0
2020-12-11,00:15:00,14258.0,14263.0,14272.0,14258.0,1491.0,0
2020-12-11,00:30:00,14263.0,14248.0,14263.0,14244.0,2165.0,0
2020-12-11,00:45:00,14248.0,14230.0,14254.0,14223.0,2110.0,1
2020-12-11,01:00:00,14229.0,14240.0,14246.0,14226.0,1327.0,1
2020-12-11,01:15:00,14240.0,14237.0,14246.0,14235.0,676.0,0
2020-12-11,01:30:00,14238.0,14242.0,14251.0,14238.0,575.0,0
2020-12-11,01:45:00,14241.0,14221.0,14243.0,14217.0,1362.0,0
2020-12-11,02:00:00,14221.0,14243.0,14245.0,14220.0,841.0,0
2020-12-11,02:15:00,14243.0,14255.0,14257.0,14240.0,830.0,0
2020-12-11,02:30:00,14254.0,14251.0,14257.0,14246.0,444.0,0
2020-12-11,02:45:00,14250.0,14252.0,14254.0,14244.0,307.0,0
2020-12-11,03:00:00,14252.0,14244.0,14258.0,14241.0,495.0,0
2020-12-11,03:15:00,14245.0,14242.0,14247.0,14232.0,537.0,0
2020-12-11,03:30:00,14241.0,14244.0,14244.0,14238.0,179.0,0
2020-12-11,03:45:00,14244.0,14240.0,14253.0,14240.0,417.0,0
2020-12-11,04:00:00,14240.0,14251.0,14252.0,14235.0,277.0,0
2020-12-11,04:15:00,14252.0,14266.0,14269.0,14252.0,1021.0,0
2020-12-11,04:30:00,14265.0,14268.0,14271.0,14256.0,767.0,0
2020-12-11,04:45:00,14269.0,14277.0,14280.0,14267.0,1500.0,0
2020-12-11,05:00:00,14277.0,14274.0,14278.0,14274.0,127.0,0
2020-12-11,08:45:00,14288.0,14307.0,14320.0,14288.0,8842.0,0
2020-12-11,09:00:00,14307.0,14321.0,14340.0,14303.0,16574.0,0
2020-12-11,09:15:00,14322.0,14302.0,14333.0,14287.0,11798.0,1
2020-12-11,09:30:00,14303.0,14303.0,14309.0,14279.0,9979.0,1
2020-12-11,09:45:00,14304.0,14264.0,14316.0,14264.0,11290.0,0
2020-12-11,10:00:00,14264.0,14266.0,14273.0,14243.0,11314.0,1
2020-12-11,10:15:00,14267.0,14238.0,14275.0,14238.0,6999.0,1
2020-12-11,10:30:00,14239.0,14171.0,14239.0,14157.0,20294.0,0
2020-12-11,10:45:00,14171.0,14152.0,14183.0,14138.0,15605.0,1
2020-12-11,11:00:00,14152.0,14112.0,14164.0,14105.0,15934.0,1
2020-12-11,11:15:00,14111.0,14142.0,14145.0,14091.0,14504.0,1
2020-12-11,11:30:00,14144.0,14140.0,14169.0,14140.0,8669.0,0
2020-12-11,11:45:00,14140.0,14182.0,14183.0,14134.0,7259.0,0
2020-12-11,12:00:00,14182.0,14181.0,14195.0,14173.0,5917.0,0
2020-12-11,12:15:00,14182.0,14158.0,14206.0,14154.0,7122.0,0
2020-12-11,12:30:00,14157.0,14158.0,14169.0,14148.0,3795.0,1
2020-12-11,12:45:00,14158.0,14193.0,14194.0,14158.0,4420.0,0
2020-12-11,13:00:00,14193.0,14229.0,14229.0,14185.0,7475.0,0
2020-12-11,13:15:00,14228.0,14235.0,14246.0,14228.0,7269.0,0
2020-12-11,13:30:00,14236.0,14238.0,14245.0,14235.0,3715.0,0
2020-12-11,13:45:00,14239.0,14239.0,14240.0,14236.0,648.0,0
2020-12-11,15:00:00,14240.0,14257.0,14258.0,14237.0,2402.0,0
2020-12-11,15:15:00,14257.0,14252.0,14261.0,14245.0,1244.0,0
2020-12-11,15:30:00,14252.0,14233.0,14254.0,14231.0,1355.0,0
2020-12-11,15:45:00,14234.0,14217.0,14242.0,14211.0,1981.0,1
2020-12-11,16:00:00,14217.0,14221.0,14230.0,14216.0,1877.0,0
2020-12-11,16:15:00,14220.0,14198.0,14220.0,14189.0,3190.0,0
2020-12-11,16:30:00,14199.0,14194.0,14202.0,14179.0,2829.0,1
2020-12-11,16:45:00,14194.0,14202.0,14202.0,14178.0,2248.0,1
2020-12-11,17:00:00,14202.0,14211.0,14222.0,14198.0,2645.0,0
2020-12-11,17:15:00,14211.0,14214.0,14219.0,14204.0,1232.0,0
2020-12-11,17:30:00,14214.0,14210.0,14216.0,14204.0,964.0,0
2020-12-11,17:45:00,14211.0,14189.0,14216.0,14185.0,1696.0,0
2020-12-11,18:00:00,14188.0,14196.0,14200.0,14180.0,1543.0,0
2020-12-11,18:15:00,14195.0,14202.0,14207.0,14187.0,1193.0,0
2020-12-11,18:30:00,14202.0,14186.0,14205.0,14178.0,1630.0,0
2020-12-11,18:45:00,14187.0,14170.0,14194.0,14170.0,1707.0,0
2020-12-11,19:00:00,14170.0,14165.0,14177.0,14156.0,3396.0,1
2020-12-11,19:15:00,14165.0,14169.0,14173.0,14155.0,1801.0,1
2020-12-11,19:30:00,14169.0,14175.0,14179.0,14166.0,1324.0,0
2020-12-11,19:45:00,14175.0,14180.0,14182.0,14171.0,891.0,0
2020-12-11,20:00:00,14181.0,14177.0,14188.0,14176.0,1268.0,0
2020-12-11,20:15:00,14176.0,14176.0,14186.0,14173.0,717.0,0
2020-12-11,20:30:00,14176.0,14178.0,14182.0,14166.0,1163.0,0
2020-12-11,20:45:00,14179.0,14188.0,14193.0,14177.0,1257.0,0
2020-12-11,21:00:00,14188.0,14186.0,14192.0,14183.0,677.0,0
