mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_close,mini_dow_low,mini_dow_volume,predict
2019-11-04,11:00:00,27394.0,27389.0,27397.0,27363.0,4523.0,0
2019-11-04,11:15:00,27389.0,27380.0,27391.0,27373.0,2524.0,0
2019-11-04,11:30:00,27381.0,27381.0,27388.0,27364.0,4040.0,0
2019-11-04,11:45:00,27380.0,27390.0,27394.0,27376.0,3575.0,0
2019-11-04,12:00:00,27391.0,27383.0,27393.0,27374.0,3382.0,0
2019-11-04,12:15:00,27384.0,27395.0,27397.0,27379.0,1374.0,0
2019-11-04,12:30:00,27396.0,27386.0,27399.0,27379.0,3101.0,0
2019-11-04,12:45:00,27386.0,27396.0,27397.0,27383.0,1342.0,0
2019-11-04,13:00:00,27396.0,27390.0,27399.0,27380.0,2057.0,0
2019-11-04,13:15:00,27389.0,27397.0,27405.0,27381.0,1400.0,0
2019-11-04,13:30:00,27397.0,27392.0,27399.0,27389.0,1353.0,0
2019-11-04,13:45:00,27393.0,27381.0,27393.0,27377.0,2354.0,0
2019-11-04,14:00:00,27381.0,27356.0,27383.0,27355.0,2430.0,0
2019-11-04,14:15:00,27356.0,27355.0,27371.0,27341.0,2739.0,0
2019-11-04,14:30:00,27356.0,27366.0,27369.0,27347.0,2568.0,0
2019-11-04,14:45:00,27367.0,27392.0,27408.0,27362.0,4632.0,0
2019-11-04,15:00:00,27393.0,27384.0,27402.0,27375.0,2986.0,0
2019-11-04,15:15:00,27384.0,27380.0,27385.0,27376.0,271.0,0
2019-11-04,15:30:00,27381.0,27389.0,27393.0,27377.0,315.0,0
2019-11-04,15:45:00,27389.0,27390.0,27392.0,27385.0,124.0,0
2019-11-04,16:00:00,27387.0,27388.0,27391.0,27387.0,27.0,0
2019-11-04,17:00:00,27402.0,27380.0,27402.0,27369.0,448.0,0
2019-11-04,17:15:00,27379.0,27377.0,27380.0,27376.0,125.0,0
2019-11-04,17:30:00,27378.0,27444.0,27468.0,27366.0,2131.0,-1
2019-11-04,17:45:00,27446.0,27444.0,27462.0,27439.0,716.0,0
2019-11-04,18:00:00,27442.0,27436.0,27446.0,27428.0,603.0,0
2019-11-04,18:15:00,27438.0,27436.0,27442.0,27430.0,313.0,0
2019-11-04,18:30:00,27436.0,27427.0,27439.0,27426.0,309.0,0
2019-11-04,18:45:00,27427.0,27406.0,27430.0,27402.0,640.0,0
2019-11-04,19:00:00,27406.0,27403.0,27408.0,27397.0,445.0,0
2019-11-04,19:15:00,27402.0,27401.0,27413.0,27400.0,319.0,0
2019-11-04,19:30:00,27400.0,27400.0,27407.0,27395.0,299.0,0
2019-11-04,19:45:00,27402.0,27417.0,27418.0,27399.0,455.0,0
2019-11-04,20:00:00,27417.0,27414.0,27421.0,27413.0,262.0,0
2019-11-04,20:15:00,27416.0,27417.0,27421.0,27409.0,253.0,0
2019-11-04,20:30:00,27416.0,27434.0,27435.0,27414.0,408.0,0
2019-11-04,20:45:00,27434.0,27435.0,27436.0,27431.0,259.0,0
2019-11-04,21:00:00,27436.0,27434.0,27446.0,27432.0,365.0,0
2019-11-04,21:15:00,27433.0,27434.0,27437.0,27431.0,172.0,0
2019-11-04,21:30:00,27434.0,27441.0,27441.0,27431.0,172.0,0
2019-11-04,21:45:00,27441.0,27451.0,27454.0,27441.0,459.0,0
2019-11-04,22:00:00,27451.0,27443.0,27452.0,27442.0,290.0,0
2019-11-04,22:15:00,27443.0,27437.0,27445.0,27437.0,260.0,0
2019-11-04,22:30:00,27438.0,27442.0,27442.0,27436.0,225.0,0
2019-11-04,22:45:00,27442.0,27434.0,27445.0,27430.0,312.0,0
2019-11-04,23:00:00,27435.0,27432.0,27442.0,27432.0,231.0,0
2019-11-04,23:15:00,27433.0,27429.0,27438.0,27427.0,210.0,0
2019-11-04,23:30:00,27431.0,27425.0,27432.0,27423.0,365.0,0
2019-11-04,23:45:00,27425.0,27430.0,27432.0,27420.0,258.0,0
