te_date,te_time,te_open,te_high,te_low,te_close,te_volume,predict
2021-01-27,00:00:00,15684.0,15647.0,15639.0,15689.0,3578,0
2021-01-27,01:00:00,15647.0,15669.0,15629.0,15680.0,2596,0
2021-01-27,02:00:00,15668.0,15679.0,15668.0,15685.0,864,0
2021-01-27,03:00:00,15679.0,15703.0,15676.0,15707.0,1851,0
2021-01-27,04:00:00,15704.0,15700.0,15699.0,15729.0,2413,0
2021-01-27,05:00:00,15699.0,15698.0,15698.0,15702.0,70,0
2021-01-27,08:00:00,15725.0,15734.0,15720.0,15754.0,7082,0
2021-01-27,09:00:00,15735.0,15789.0,15681.0,15814.0,54196,0
2021-01-27,10:00:00,15788.0,15613.0,15610.0,15792.0,50828,0
2021-01-27,11:00:00,15615.0,15625.0,15585.0,15673.0,30832,-1
2021-01-27,12:00:00,15625.0,15694.0,15601.0,15694.0,21243,0
2021-01-27,13:00:00,15692.0,15660.0,15650.0,15706.0,19048,0
2021-01-27,15:00:00,15665.0,15665.0,15659.0,15680.0,2690,0
2021-01-27,16:00:00,15664.0,15624.0,15615.0,15668.0,4424,0
2021-01-27,17:00:00,15624.0,15644.0,15622.0,15647.0,1871,0
2021-01-27,18:00:00,15642.0,15627.0,15618.0,15642.0,1613,0
2021-01-27,19:00:00,15626.0,15552.0,15519.0,15626.0,9164,0
2021-01-27,20:00:00,15550.0,15499.0,15496.0,15561.0,8250,-1
2021-01-27,21:00:00,15500.0,15523.0,15488.0,15537.0,6661,-1
2021-01-27,22:00:00,15523.0,15488.0,15441.0,15552.0,15626,0
2021-01-27,23:00:00,15489.0,15550.0,15480.0,15559.0,12988,0
2021-01-28,00:00:00,15550.0,15494.0,15493.0,15554.0,5187,0
2021-01-28,01:00:00,15495.0,15547.0,15494.0,15553.0,3352,0
2021-01-28,02:00:00,15545.0,15549.0,15529.0,15577.0,3116,0
2021-01-28,03:00:00,15548.0,15487.0,15472.0,15564.0,3586,0
2021-01-28,04:00:00,15488.0,15430.0,15421.0,15497.0,4642,0
2021-01-28,05:00:00,15430.0,15428.0,15425.0,15431.0,96,-1
2021-01-28,08:00:00,15411.0,15378.0,15350.0,15420.0,12951,-1
2021-01-28,09:00:00,15378.0,15466.0,15336.0,15524.0,56592,0
2021-01-28,10:00:00,15466.0,15399.0,15315.0,15496.0,53649,0
2021-01-28,11:00:00,15398.0,15337.0,15305.0,15420.0,35604,0
2021-01-28,12:00:00,15337.0,15365.0,15328.0,15403.0,21292,0
2021-01-28,13:00:00,15366.0,15383.0,15357.0,15416.0,21798,0
2021-01-28,15:00:00,15375.0,15324.0,15269.0,15382.0,11173,0
2021-01-28,16:00:00,15324.0,15270.0,15251.0,15348.0,9491,0
2021-01-28,17:00:00,15268.0,15266.0,15225.0,15288.0,10141,-1
2021-01-28,18:00:00,15267.0,15297.0,15255.0,15318.0,6311,0
2021-01-28,19:00:00,15297.0,15315.0,15281.0,15347.0,6353,0
2021-01-28,20:00:00,15315.0,15325.0,15308.0,15345.0,4139,0
2021-01-28,21:00:00,15325.0,15414.0,15293.0,15429.0,10160,0
2021-01-28,22:00:00,15416.0,15437.0,15405.0,15473.0,16533,0
2021-01-28,23:00:00,15437.0,15489.0,15428.0,15500.0,9426,0
