te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2020-12-21,18:30:00,14183.0,14190.0,14197.0,14156.0,3563.0,1
2020-12-21,18:45:00,14190.0,14158.0,14191.0,14139.0,3784.0,1
2020-12-21,19:00:00,14158.0,14181.0,14183.0,14143.0,2161.0,1
2020-12-21,19:15:00,14182.0,14175.0,14184.0,14170.0,1320.0,0
2020-12-21,19:30:00,14175.0,14194.0,14194.0,14175.0,1189.0,0
2020-12-21,19:45:00,14193.0,14195.0,14207.0,14187.0,1593.0,0
2020-12-21,20:00:00,14197.0,14208.0,14212.0,14191.0,1284.0,0
2020-12-21,20:15:00,14207.0,14190.0,14209.0,14182.0,1400.0,0
2020-12-21,20:30:00,14191.0,14193.0,14201.0,14185.0,765.0,0
2020-12-21,20:45:00,14193.0,14195.0,14203.0,14192.0,541.0,0
2020-12-21,21:00:00,14195.0,14182.0,14197.0,14181.0,871.0,1
2020-12-21,21:15:00,14183.0,14182.0,14184.0,14172.0,1056.0,0
2020-12-21,21:30:00,14182.0,14188.0,14195.0,14182.0,699.0,0
2020-12-21,21:45:00,14188.0,14189.0,14192.0,14180.0,448.0,0
2020-12-21,22:00:00,14189.0,14189.0,14193.0,14179.0,616.0,0
2020-12-21,22:15:00,14189.0,14191.0,14194.0,14186.0,550.0,0
2020-12-21,22:30:00,14191.0,14211.0,14220.0,14188.0,2858.0,0
2020-12-21,22:45:00,14211.0,14224.0,14233.0,14204.0,2376.0,0
2020-12-21,23:00:00,14223.0,14206.0,14230.0,14201.0,2446.0,0
2020-12-21,23:15:00,14206.0,14201.0,14213.0,14186.0,1955.0,1
2020-12-21,23:30:00,14201.0,14211.0,14212.0,14197.0,1031.0,0
2020-12-21,23:45:00,14209.0,14211.0,14213.0,14203.0,794.0,0
2020-12-22,00:00:00,14212.0,14212.0,14214.0,14204.0,759.0,0
2020-12-22,00:15:00,14213.0,14219.0,14225.0,14209.0,757.0,0
2020-12-22,00:30:00,14220.0,14237.0,14243.0,14219.0,1371.0,0
2020-12-22,00:45:00,14238.0,14237.0,14247.0,14236.0,973.0,0
2020-12-22,01:00:00,14238.0,14244.0,14252.0,14238.0,713.0,0
2020-12-22,01:15:00,14245.0,14265.0,14266.0,14244.0,870.0,0
2020-12-22,01:30:00,14266.0,14257.0,14271.0,14255.0,848.0,0
2020-12-22,01:45:00,14256.0,14262.0,14273.0,14252.0,493.0,0
2020-12-22,02:00:00,14262.0,14262.0,14264.0,14256.0,325.0,0
2020-12-22,02:15:00,14262.0,14265.0,14269.0,14261.0,315.0,0
2020-12-22,02:30:00,14266.0,14278.0,14280.0,14264.0,713.0,0
2020-12-22,02:45:00,14278.0,14278.0,14283.0,14272.0,371.0,0
2020-12-22,03:00:00,14279.0,14275.0,14280.0,14267.0,280.0,0
2020-12-22,03:15:00,14274.0,14278.0,14278.0,14270.0,246.0,0
