mtx_date,mtx_time,mtx_open,mtx_high,mtx_low,mtx_close,mtx_volume,predict
2021-02-18,16:00:00,16337.0,16351.0,16324.0,16355.0,4873,0
2021-02-18,17:00:00,16351.0,16345.0,16340.0,16359.0,2406,0
2021-02-18,18:00:00,16346.0,16338.0,16333.0,16352.0,1624,0
2021-02-18,19:00:00,16338.0,16334.0,16317.0,16338.0,3621,0
2021-02-18,20:00:00,16335.0,16333.0,16328.0,16341.0,1974,0
2021-02-18,21:00:00,16332.0,16305.0,16298.0,16334.0,6211,0
2021-02-18,22:00:00,16304.0,16291.0,16251.0,16305.0,15849,0
2021-02-18,23:00:00,16290.0,16263.0,16233.0,16303.0,14316,0
2021-02-19,00:00:00,16263.0,16280.0,16252.0,16296.0,5882,0
2021-02-19,01:00:00,16281.0,16289.0,16267.0,16292.0,2177,0
2021-02-19,02:00:00,16289.0,16313.0,16281.0,16327.0,4300,0
2021-02-19,03:00:00,16312.0,16318.0,16310.0,16330.0,1768,0
2021-02-19,04:00:00,16318.0,16301.0,16295.0,16335.0,2473,0
2021-02-19,05:00:00,16300.0,16300.0,16299.0,16304.0,53,0
2021-02-19,08:00:00,16294.0,16308.0,16290.0,16314.0,6174,0
2021-02-19,09:00:00,16308.0,16244.0,16196.0,16327.0,79203,0
2021-02-19,10:00:00,16242.0,16159.0,16130.0,16268.0,60674,0
2021-02-19,11:00:00,16161.0,16243.0,16147.0,16255.0,37221,0
2021-02-19,12:00:00,16242.0,16279.0,16212.0,16304.0,25767,0
2021-02-19,13:00:00,16279.0,16312.0,16274.0,16322.0,17948,0
2021-02-19,15:00:00,16341.0,16371.0,16340.0,16499.0,12395,0
2021-02-19,16:00:00,16371.0,16372.0,16359.0,16381.0,4241,0
2021-02-19,17:00:00,16370.0,16400.0,16367.0,16413.0,6322,0
2021-02-19,18:00:00,16400.0,16403.0,16394.0,16415.0,2992,0
2021-02-19,19:00:00,16402.0,16387.0,16381.0,16405.0,3481,0
2021-02-19,20:00:00,16388.0,16402.0,16385.0,16408.0,2663,0
